"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MYL9",-1.18399295018011,8.96804083477404,-4.12603900826376,0.000504588074380273,0.0340054771043668,-0.0475540954559248
"TMEM35",-2.2082111949049,6.218554855514,-4.11057854674277,0.00052335131903151,0.0346738676721722,-0.0811928238978963
"FOXF1",-1.12074989881319,9.68433997002457,-4.1032472810694,0.000532490892572789,0.0347873197009468,-0.0971430977705454
"SLC16A9",-1.00733643222453,7.0439866061369,-4.09885510058015,0.000538042648756554,0.034861606332656,-0.106698597966737
"RBFOX3",-1.66618479729002,6.14592701906612,-4.09215389840267,0.000546624649807039,0.0350316396824566,-0.12127699828663
"STAC",-2.02016734499483,6.66676783519593,-4.08666047032172,0.000553761789382462,0.0352966864126708,-0.133227383151414
"FLNA",-1.33033403855159,9.42144251760434,-4.07961458824692,0.000563052309166409,0.035413002301357,-0.148554249934184
"FZD7",-1.06193571606412,8.2395422073898,-4.07677145221364,0.000566845127669356,0.035413002301357,-0.154738667026444
"PAK3",-1.35511650996533,6.41971754227527,-4.07481971275448,0.000569463557548452,0.035413002301357,-0.158984026839835
"RPL39L",-1.08539346533653,6.0001271312151,-4.07394335669428,0.000570643191845846,0.035413002301357,-0.160890225586053
"PTGER2",-1.08908733131514,6.12358692001987,-4.06571046349379,0.000581845036748243,0.0354533556070432,-0.178797240944328
"RAB9B",-1.56768332723097,6.52299219035868,-4.05502573197858,0.000596710850660609,0.0358082222490152,-0.202035170149514
"LINC00844",-2.27889469432641,8.74781674332134,-4.05360300664089,0.000598718700373732,0.0358151169622843,-0.205129239178842
"GNAZ",-1.58434133324979,9.11178588084003,-4.04608273209527,0.000609444392952019,0.0360154073422902,-0.221483215188218
"CYP3A5",-1.99757969932941,6.27305314753313,-4.02673205822556,0.000637932636865543,0.0369583967935409,-0.26355819728718
"PLCL1",-1.06297217277814,6.49635276118665,-4.02634404643637,0.000638517254412919,0.0369583967935409,-0.264401773997385
"INMT",-1.25617384112032,8.87233398570684,-4.01681141446672,0.000653049112271622,0.0370844775898131,-0.285125448395326
"NEXN",-1.01680811838711,8.72679235215658,-4.00275505286943,0.000675080905468576,0.0372720725272791,-0.315679072151719
"SLC2A5",-1.36102181001768,5.38069891232809,-3.98709568443832,0.000700498807561587,0.0380501892698581,-0.349710261383795
"ANKRD35",-1.18077708090127,6.12881873987585,-3.9759557944676,0.000719159255172309,0.038417202771189,-0.373914954765675
